# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=139955443
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_full_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,z_beta.1,p_gamma.1,p_z_beta.1,g_gamma.1,g_z_beta.1
-27.249,0.960149,0.455426,1,3,0,27.9522,-0.576106,-0.279971,-1.79773,-6.19529,1.3752,5.14422
-27.1993,1,0.455426,1,1,0,27.2545,-0.598924,-0.28402,-0.619049,-1.50226,1.17868,5.01073
-27.0877,0.993571,0.455426,2,7,0,27.5004,-0.705573,-0.483142,1.62189,4.27414,1.38488,-4.86033
-28.1455,0.913773,0.455426,2,7,0,29.4693,-0.363924,-0.500695,-4.30419,-0.14015,4.15366,-7.49243
-27.5565,0.990311,0.455426,3,7,0,29.1177,-0.835791,-0.578366,4.24909,-4.6952,1.10751,-8.24752
-27.1579,1,0.455426,2,3,0,27.5801,-0.814271,-0.518586,-0.300714,5.81275,0.803369,-5.7479
-27.9515,0.951409,0.455426,2,3,0,28.0187,-0.594192,-0.570232,-0.56009,-1.909,2.76964,-9.55595
-27.7855,0.998946,0.455426,2,7,0,28.3271,-0.745991,-0.5894,-2.74754,0.429353,1.82199,-9.39457
-27.2851,1,0.455426,3,7,0,28.2656,-0.540044,-0.456284,-0.425413,-8.86712,2.54769,-4.53419
-28.3004,0.974838,0.455426,3,7,0,28.5379,-0.677908,-0.155523,1.57526,2.21289,-0.060202,12.83
-28.1476,0.994473,0.455426,2,3,0,28.7967,-0.457943,-0.189414,-0.919691,6.91637,2.22464,10.1558
-27.4289,0.937613,0.455426,2,7,0,30.2507,-0.682102,-0.532723,-2.62526,-13.7577,1.89348,-7.33317
-27.4725,0.999002,0.455426,3,7,0,27.6598,-1.20865,-0.396945,-0.491963,3.7169,-3.22498,3.21528
-27.2065,0.99643,0.455426,3,7,0,27.6992,-0.674246,-0.496446,-2.60933,0.712494,1.71626,-5.69935
-28.2174,0.940471,0.455426,3,7,0,29.1764,-1.4244,-0.424392,0.476211,-8.75252,-4.55887,3.90597
-27.6466,1,0.455426,3,7,0,28.3354,-1.30199,-0.518187,-2.52281,4.36142,-2.77985,-1.35078
-26.8487,0.990567,0.455426,2,7,0,28.7956,-0.78156,-0.358011,4.42307,6.67978,-0.061719,1.93728
-26.9048,0.994807,0.455426,2,7,0,26.9783,-0.950184,-0.391671,0.0958622,2.43304,-1.23667,1.38658
-27.0991,0.979516,0.455426,2,3,0,27.2326,-1.03797,-0.370488,1.14053,-1.81491,-2.10655,3.09827
-26.9357,0.998043,0.455426,3,7,0,27.4659,-0.776358,-0.464398,0.775934,6.29168,0.698107,-3.4707
-26.8447,0.999733,0.455426,3,7,0,26.9961,-0.710972,-0.390505,0.317446,-3.42241,0.744043,-0.199497
-27.1909,0.98938,0.455426,3,7,0,27.2612,-1.07195,-0.516374,-0.969748,0.497962,-1.13342,-3.48371
-26.9962,0.998664,0.455426,4,15,0,27.3072,-1.00393,-0.47289,1.34026,3.85248,-1.00722,-2.09193
-27.5604,0.959148,0.455426,2,7,0,27.8528,-0.979379,-0.263923,1.84403,2.00508,-2.34064,8.0958
-26.9823,0.999208,0.455426,2,7,0,27.6911,-0.899073,-0.487863,1.19267,-7.02367,-0.0804969,-3.66005
-32.483,0.905125,0.455426,4,15,0,32.8061,-2.25879,-0.884932,-0.199692,-5.101,-4.50082,-4.22277
-31.0492,0.991719,0.455426,3,7,0,33.2608,-1.64233,-0.902643,3.66616,10.0835,-0.668231,-12.5141
-31.1152,1,0.455426,1,1,0,31.1919,-1.66429,-0.906697,-0.167588,2.46263,-0.745968,-12.4031
-30.6018,0.999888,0.455426,3,7,0,32.0089,-1.9736,-0.686282,2.56173,8.73134,-5.28558,-0.529965
-28.8306,0.997365,0.455426,4,15,0,31.2821,-1.16127,-0.727933,3.98627,10.3418,0.291185,-11.3796
-27.1105,0.996592,0.455426,3,7,0,29.5878,-1.0521,-0.376777,5.75712,2.98019,-2.17125,2.89934
-28.6778,0.87224,0.455426,2,7,0,29.8691,-0.538522,-0.621417,-2.92887,6.85582,3.44091,-12.0291
-27.193,0.998465,0.455426,2,7,0,28.8269,-0.952597,-0.533579,-3.64631,7.45535,-0.103415,-5.31274
-28.4979,0.917713,0.455426,2,3,0,28.587,-0.679645,-0.642013,1.11395,0.197287,2.63084,-12.0249
-28.4917,0.990396,0.455426,2,7,0,30.2601,-1.31063,-0.687813,4.86221,-2.53889,-1.0625,-8.30293
-27.7443,1,0.455426,2,3,0,28.5533,-1.3098,-0.554904,1.41042,7.36132,-2.46082,-2.85014
-26.8368,0.91724,0.455426,3,7,0,29.7536,-0.865648,-0.384028,-6.24325,3.27481,-0.598356,1.15502
-27.5865,0.964351,0.455426,2,7,0,28.3943,-1.14682,-0.584229,1.70414,6.98455,-1.02727,-5.74376
-26.8956,0.999706,0.455426,3,7,0,27.7443,-0.705276,-0.343744,-3.271,-2.61608,0.515852,2.23778
-27.2746,0.983906,0.455426,2,3,0,27.3132,-0.502303,-0.304554,-0.727684,-0.258819,2.17002,3.42853
-27.7203,0.969959,0.455426,2,3,0,27.9529,-0.462492,-0.237401,-0.0846772,-4.34304,2.31466,7.23598
-27.5049,0.993997,0.455426,3,7,0,28.2247,-0.389559,-0.343652,-2.19087,-5.53382,3.36461,0.785526
-27.5726,0.999541,0.455426,3,7,0,27.6323,-1.28197,-0.464118,-0.80573,-1.04102,-3.1644,0.827796
-28.4307,0.959407,0.455426,2,3,0,28.5025,-1.44352,-0.39759,-0.940967,-0.831317,-4.93558,5.23103
-27.6335,0.999055,0.455426,2,3,0,28.5061,-1.25415,-0.395156,3.39121,-2.03405,-3.58294,3.6859
-27.6335,0.733774,0.455426,1,3,0,32.3659,-1.25415,-0.395156,-7.27223,8.80426,-3.58294,3.6859
-27.7201,0.977943,0.455426,3,7,0,28.4145,-0.564956,-0.534968,0.0731433,-7.50927,2.78059,-8.15097
-27.3577,1,0.455426,3,7,0,28.0928,-0.749394,-0.538334,3.1604,-1.32225,1.43251,-7.12541
-26.8638,0.99899,0.455426,3,7,0,27.4753,-0.711108,-0.414221,-0.22647,7.02742,0.891073,-1.41788
-27.0551,0.931585,0.455426,1,3,0,28.1917,-0.892886,-0.318314,-2.50434,7.47985,-1.26906,4.72555
-26.9478,0.999058,0.455426,2,7,0,27.1614,-0.966793,-0.379855,0.141148,-4.15234,-1.46019,2.0979
-27.2889,0.992194,0.455426,3,7,0,27.3105,-0.4898,-0.421946,0.0260138,1.32522,2.79544,-3.03886
-27.252,0.997954,0.455426,3,7,0,27.4732,-0.992011,-0.312966,-0.550943,-4.02653,-2.14161,5.64688
-29.7186,0.954568,0.455426,3,7,0,30.0276,0.0225237,-0.309667,1.38369,3.74101,7.21835,2.08898
-28.2052,0.99078,0.455426,2,3,0,30.1735,-0.221646,-0.36377,-4.88232,-4.64247,4.96343,-0.808419
-27.4502,1,0.455426,2,3,0,28.2039,-0.407221,-0.340189,-3.22924,0.840243,3.18974,1.04221
