# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=32
# stan_version_patch=2
# init=random
# enable_random_init=1
# seed=281804131
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=0
# thin=1
# refresh=0
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.95
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=15
# sampler_t=NUTS(diag_e)
# diagnostic_file=/Users/peterzhu/Documents/projects/soccr_master/soccr_cogsci_2025/diagnostic_files/diag_file_null_soccr_study1_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,gamma.1,p_gamma.1,g_gamma.1
-30.4881,0.862348,0.86609,2,7,0,31.8961,-0.375297,-5.40351,2.85947
-30.1186,1,0.86609,2,3,0,30.4204,-0.707293,-2.50142,-0.584483
-30.1422,0.995653,0.86609,2,3,0,30.1654,-0.739086,-0.694671,-0.897273
-30.1234,1,0.86609,1,1,0,30.1393,-0.714929,-0.57497,-0.659922
-30.1175,0.992771,0.86609,1,3,0,30.1891,-0.592455,1.21835,0.57236
-30.1329,0.953388,0.86609,2,3,0,30.5075,-0.570142,-2.78735,0.80176
-30.2794,0.957619,0.86609,3,7,0,30.4789,-0.838634,2.03386,-1.85399
-30.6656,0.845351,0.86609,1,3,0,31.7387,-0.319168,4.71723,3.46759
-30.393,1,0.86609,1,1,0,30.6203,-0.410924,-2.17097,2.47663
-30.7789,0.927428,0.86609,1,1,0,30.7804,-0.28802,-0.177421,3.80742
-30.9481,0.988999,0.86609,2,3,0,31.0355,-0.246095,-1.34596,4.26716
-31.3352,0.92564,0.86609,1,1,0,31.4115,-0.164081,1.25825,5.1729
-30.891,1,0.86609,2,3,0,31.3044,-0.25972,-2.92801,4.11747
-30.4395,1,0.86609,1,1,0,30.8043,-0.392858,2.75029,2.67044
-30.8199,0.928205,0.86609,1,1,0,30.8248,-0.277399,-0.316888,3.92364
-30.6354,1,0.86609,1,1,0,30.8412,-0.327983,-2.06567,3.37171
-31.1813,0.89756,0.86609,1,1,0,31.1933,-0.194855,-0.498787,4.83218
-30.3004,0.840241,0.86609,1,3,0,32.6574,-0.849656,6.99125,-1.95773
-30.9706,0.784789,0.86609,1,3,0,32.3848,-0.240872,5.41538,4.3246
-30.5027,0.992036,0.86609,3,7,0,31.0663,-0.935493,3.41869,-2.74997
-30.3443,1,0.86609,1,1,0,30.4847,-0.870974,1.70651,-2.15708
-30.2743,0.928017,0.86609,1,3,0,31.0597,-0.465193,4.03559,1.89877
-30.2743,0.730537,0.86609,1,3,0,32.4012,-0.465193,-6.64124,1.89877
-30.1184,1,0.86609,2,7,0,30.2475,-0.706942,1.63621,-0.581017
-30.3368,0.925687,0.86609,2,3,0,30.7846,-0.434851,3.04713,2.22104
-30.2041,1,0.86609,1,1,0,30.312,-0.507047,-1.49562,1.45786
-30.1486,0.824784,0.86609,3,7,0,31.5926,-0.552512,5.47206,0.983999
-30.1513,0.995042,0.86609,2,3,0,30.2115,-0.54976,-1.1167,1.01252
-30.2307,0.955301,0.86609,1,3,0,30.516,-0.810282,2.43244,-1.58511
-30.9326,0.920709,0.86609,2,3,0,31.1096,-1.06478,-1.91622,-3.88893
-30.9326,0.97944,0.86609,1,1,0,31.1424,-1.06478,-2.08608,-3.88893
-30.1089,0.941807,0.86609,2,3,0,31.689,-0.610431,5.72419,0.388614
-30.1511,0.984502,0.86609,1,3,0,30.2235,-0.748545,1.22488,-0.989674
-31.1467,0.843263,0.86609,1,3,0,31.4566,-1.11688,-2.53504,-4.32872
-32.2046,0.95247,0.86609,2,3,0,32.2053,-1.32211,-0.120066,-5.951
-34.1914,0.775681,0.86609,1,1,0,34.1914,-1.60757,0.00909741,-7.91244
-33.0574,1,0.86609,1,1,0,34.1779,-1.45467,4.82028,-6.90427
-30.1249,0.99926,0.86609,2,7,0,32.5516,-0.580781,7.09387,0.692199
-31.282,0.720685,0.86609,1,3,0,32.3923,-1.14726,-4.79833,-4.58003
-30.2046,0.877291,0.86609,1,3,0,32.5916,-0.506709,7.0356,1.4614
-30.2143,0.953509,0.86609,1,3,0,30.61,-0.799644,-2.8645,-1.48347
-30.4856,0.889618,0.86609,1,3,0,31.1951,-0.376143,-3.83566,2.85034
-30.644,0.969477,0.86609,1,1,0,30.6801,-0.325455,-0.865183,3.39919
-30.4283,1,0.86609,1,1,0,30.6201,-0.39709,1.99432,2.62498
-30.1017,1,0.86609,2,3,0,30.3786,-0.655382,-2.39637,-0.0666397
-30.3503,0.947326,0.86609,1,3,0,30.4846,-0.87374,1.66884,-2.18282
-30.3076,0.98531,0.86609,2,3,0,30.5704,-0.853309,2.33435,-1.99201
-30.2922,0.927281,0.86609,1,3,0,31.0227,-0.455989,-3.89207,1.9963
-30.8718,0.93464,0.86609,2,7,0,30.9461,-1.04889,1.24073,-3.75256
-30.1027,0.972723,0.86609,1,3,0,31.1554,-0.66425,4.67222,-0.15572
-30.8168,0.883658,0.86609,2,3,0,31.2298,-0.278199,2.92634,3.91489
-30.2528,0.998936,0.86609,2,7,0,30.7527,-0.823687,3.21968,-1.7126
-30.1015,0.993624,0.86609,1,3,0,30.3165,-0.646465,2.1116,0.0231722
-30.1962,0.989446,0.86609,2,3,0,30.2004,-0.512539,0.292791,1.40033
-30.117,0.98495,0.86609,1,3,0,30.3209,-0.704414,2.05629,-0.555995
-30.1079,0.996204,0.86609,1,3,0,30.1503,-0.612977,-0.9376,0.362663
-32.4792,0.56102,0.86609,1,3,0,34.3972,-1.36701,6.30655,-6.28219
-31.5114,1,0.86609,1,1,0,32.3652,-1.19529,4.2078,-4.96941
-30.2466,0.867855,0.86609,1,3,0,33.1848,-0.480412,7.80562,1.73795
-30.7398,0.811412,0.86609,2,7,0,31.8877,-1.01214,-4.87892,-3.43327
-32.3813,0.862056,0.86609,2,7,0,32.5701,0.00675969,1.97897,7.07544
-30.1027,0.947861,0.86609,1,3,0,32.9823,-0.632941,-7.72748,0.159868
-30.1073,0.998269,0.86609,1,3,0,30.117,-0.682813,0.449224,-0.341361
-30.1073,0.928438,0.86609,1,3,0,30.594,-0.682813,-3.17706,-0.341361
-30.2956,0.966374,0.86609,1,3,0,30.3572,-0.847184,-1.13007,-1.9345
-30.145,0.920337,0.86609,2,3,0,31.0563,-0.742164,-4.34728,-0.92738
-30.1348,1,0.86609,1,1,0,30.1465,-0.730463,0.492052,-0.812776
-30.2728,0.904066,0.86609,2,3,0,30.9611,-0.83506,-3.7779,-1.82026
-30.1038,0.995056,0.86609,1,3,0,30.3098,-0.670163,2.06718,-0.214967
-30.1159,0.995612,0.86609,1,3,0,30.1369,-0.595444,-0.659899,0.54174
-30.4549,0.905233,0.86609,1,3,0,30.8159,-0.917582,2.73623,-2.58698
-30.1615,0.996933,0.86609,2,3,0,30.4939,-0.758534,2.62548,-1.08692
-30.1327,1,0.86609,1,1,0,30.1569,-0.727838,-0.708287,-0.786998
-30.3385,0.9346,0.86609,1,3,0,30.6524,-0.434092,-2.55129,2.22913
-32.1459,0.81016,0.86609,2,7,0,32.2283,-1.31219,-1.30739,-5.87666
-32.2297,0.988724,0.86609,1,1,0,32.5124,-1.32632,-2.42151,-5.98239
-30.2989,0.79474,0.86609,1,3,0,34.7241,-0.452657,-9.57936,2.03167
-32.5886,0.748091,0.86609,2,3,0,33.2393,0.0354144,-3.67334,7.39518
-33.5898,0.817414,0.86609,1,1,0,33.8486,0.159243,-2.31688,8.77346
-32.847,1,0.86609,1,1,0,33.7983,0.0694812,4.44156,7.7751
-32.4286,1,0.86609,1,1,0,33.1131,0.013419,3.76732,7.14975
-31.0134,0.987569,0.86609,2,7,0,32.5388,-1.08512,5.62425,-4.0619
-30.8914,1,0.86609,1,1,0,31.0874,-1.05408,2.01588,-3.79721
-30.7837,1,0.86609,1,1,0,30.9552,-1.02474,1.88568,-3.54336
-31.438,0.904458,0.86609,1,1,0,31.4408,-1.18036,-0.237052,-4.84938
-32.678,0.840462,0.86609,1,1,0,32.6801,-1.39809,0.210965,-6.50644
-32.649,1,0.86609,3,7,0,32.6845,-1.39362,-0.858764,-6.47447
-30.4508,0.992375,0.86609,2,7,0,32.3916,-0.388658,-6.34401,2.71559
-30.7216,0.948385,0.86609,1,1,0,30.7365,-0.303404,-0.555382,3.63938
